exchange,security_code,security_abbr,bond_name,issue_result_date,issue_date_source,amount_billion,amount_source,publish_date,title,url,parse_note,trace_result_url,trace_result_title,trace_result_publish_date,issue_month
SZSE,,厦门2417,关于2024年厦门市同安区乡村振兴项目专项债券（一期）——2024年厦门市政府专项债券（十六期）上市交易的通知,2024-02-07,publish_date_fallback,4.0,total,2024-02-07,关于2024年厦门市同安区乡村振兴项目专项债券（一期）——2024年厦门市政府专项债券（十六期）上市交易的通知,http://www.szse.cn/disclosure/notice/bond/t20240207_606025.html,,,,,2024-02
SZSE,,江苏2407,关于2024年江苏省乡村振兴专项债券（一期）——2024年江苏省政府专项债券（三期）上市交易的通知,2024-03-20,publish_date_fallback,7.4,total,2024-03-20,关于2024年江苏省乡村振兴专项债券（一期）——2024年江苏省政府专项债券（三期）上市交易的通知,http://www.szse.cn/disclosure/notice/bond/t20240320_606383.html,,,,,2024-03
SSE,240639,GC申YKV1,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第一期）发行结果公告,2024-03-27,sse_result_sentence,10.0,actual,2024-03-27,申能股份有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第一期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-03-27/240639_20240327_E8PW.pdf,,,,,2024-03
SZSE,148741,24风电KV01,关于中广核风电有限公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）上市有关事项的通知,2024-05-23,szse_result_announcement_publish_date,10.0,actual,2024-05-31,关于中广核风电有限公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）上市有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20240531_607510.html,,http://disc.static.szse.cn/download/disc/disk03/finalpage/2024-05-23/52f307dd-5d9d-44c7-940a-93aadd92baa2.PDF,24风电KV01：中广核风电有限公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,2024-05-23,2024-05
SZSE,133845,24财金振兴01,关于为山东省财金乡村振兴有限公司2024年面向专业投资者非公开发行公司债券（第一期）提供转让服务有关事项的通知,2024-05-29,szse_listing_start_sentence,3.0,total,2024-05-28,关于为山东省财金乡村振兴有限公司2024年面向专业投资者非公开发行公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20240528_607400.html,,,,,2024-05
SSE,241073,赣交KV01,江西省交通投资集团有限责任公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,2024-06-06,sse_result_sentence,5.0,actual,2024-06-06,江西省交通投资集团有限责任公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-06-06/241073_20240606_C1XK.pdf,,,,,2024-06
SZSE,148760,GC风电KV01,关于中广核风电有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴公司债券（第一期）上市有关事项的通知,2024-06-06,szse_result_announcement_publish_date,20.0,actual,2024-06-14,关于中广核风电有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴公司债券（第一期）上市有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20240614_607682.html,,http://disc.static.szse.cn/download/disc/disk03/finalpage/2024-06-06/abc1abaa-c236-4436-888a-e6c746847cd9.PDF,GC风电KV01：中广核风电有限公司2024年面向专业投资者公开发行碳中和绿色科技创新乡村振兴公司债券（第一期）发行结果公告（以此为准）,2024-06-06,2024-06
SZSE,,江苏2416,关于2024年江苏省乡村振兴专项债券（二期）——2024年江苏省政府专项债券（六期）上市交易的通知,2024-06-20,publish_date_fallback,13.41,total,2024-06-20,关于2024年江苏省乡村振兴专项债券（二期）——2024年江苏省政府专项债券（六期）上市交易的通知,http://www.szse.cn/disclosure/notice/bond/t20240620_607787.html,,,,,2024-06
SSE,241263,GC雅砻V1,雅砻江流域水电开发有限公司2024年面向专业投资者公开发行碳中和绿色乡村振兴公司债券（第一期）发行结果公告,2024-07-15,sse_result_sentence,10.0,actual,2024-07-15,雅砻江流域水电开发有限公司2024年面向专业投资者公开发行碳中和绿色乡村振兴公司债券（第一期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-15/241263_20240715_UWCJ.pdf,,,,,2024-07
SSE,241285,24唐租V1,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,2024-07-15,sse_result_sentence,5.0,actual,2024-07-15,大唐融资租赁有限公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-07-15/241285_20240715_7EOE.pdf,,,,,2024-07
