exchange,raw_id,security_code,security_abbr,bond_name,title,publish_date,issue_result_date,issue_date_source,amount_billion,amount_source,bulletin_type_code,bulletin_type_name,url,parse_note,trace_result_url,trace_result_title,trace_result_publish_date
SSE,202507180024336795I5COMPANY_BOND,243367,苏垦KV02,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第二期）发行结果公告,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第二期）发行结果公告,2025-07-18,2025-07-18,sse_result_sentence,10.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-07-18/243367_20250718_95I5.pdf,,,,
SSE,20251215002443450WVRCOMPANY_BOND,244345,25成高V1,成都高速公路股份有限公司2025年面向专业投资者公开发行乡村振兴公司债券(成渝双城经济圈)（第一期）发行结果公告,成都高速公路股份有限公司2025年面向专业投资者公开发行乡村振兴公司债券(成渝双城经济圈)（第一期）发行结果公告,2025-12-15,2025-12-15,sse_result_sentence,5.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-12-15/244345_20251215_0WVR.pdf,,,,
SSE,2025071800243368GSA1COMPANY_BOND,243368,苏垦KV03,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第二期）发行结果公告,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第二期）发行结果公告,2025-07-18,2025-07-18,sse_result_sentence,10.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-07-18/243368_20250718_GSA1.pdf,,,,
SSE,2025070700243157A679COMPANY_BOND,243157,GC申YKV4,申能股份有限公司2025年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）发行结果公告,申能股份有限公司2025年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）发行结果公告,2025-07-07,2025-07-07,sse_result_sentence,6.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-07-07/243157_20250707_A679.pdf,,,,
SSE,20250707002431586J6RCOMPANY_BOND,243158,GC申YKV5,申能股份有限公司2025年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）发行结果公告,申能股份有限公司2025年面向专业投资者公开发行碳中和绿色科技创新乡村振兴可续期公司债券（第二期）发行结果公告,2025-07-07,2025-07-07,sse_result_sentence,6.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-07-07/243158_20250707_6J6R.pdf,,,,
SSE,2025061200243135O7M1COMPANY_BOND,243135,25渝高V4,重庆高速公路集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券(成渝双城经济圈)（第三期）发行结果公告,重庆高速公路集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券(成渝双城经济圈)（第三期）发行结果公告,2025-06-12,2025-06-12,sse_result_sentence,5.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-12/243135_20250612_O7M1.pdf,,,,
SSE,2025060900243066F0Q8COMPANY_BOND,243066,25苏交V1,苏州交通投资集团有限责任公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）（长三角一体化）发行结果公告,苏州交通投资集团有限责任公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）（长三角一体化）发行结果公告,2025-06-09,2025-06-09,sse_result_sentence,10.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-09/243066_20250609_F0Q8.pdf,,,,
SSE,2025052700243057PQCMCOMPANY_BOND,243057,GC核融V1,中核融资租赁有限公司2025年面向专业投资者公开发行绿色碳中和乡村振兴公司债券（第一期）（可持续挂钩）发行结果公告,中核融资租赁有限公司2025年面向专业投资者公开发行绿色碳中和乡村振兴公司债券（第一期）（可持续挂钩）发行结果公告,2025-05-27,2025-05-27,sse_result_sentence,7.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-05-27/243057_20250527_PQCM.pdf,,,,
SSE,2025052700243058HXVLCOMPANY_BOND,243058,GC核融V2,中核融资租赁有限公司2025年面向专业投资者公开发行绿色碳中和乡村振兴公司债券（第一期）（可持续挂钩）发行结果公告,中核融资租赁有限公司2025年面向专业投资者公开发行绿色碳中和乡村振兴公司债券（第一期）（可持续挂钩）发行结果公告,2025-05-27,2025-05-27,sse_result_sentence,7.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-05-27/243058_20250527_HXVL.pdf,,,,
SSE,20250507002428720SAICOMPANY_BOND,242872,苏垦KV01,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,2025-05-07,2025-05-07,sse_result_sentence,10.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-05-07/242872_20250507_0SAI.pdf,,,,
SSE,2025042500242884RSM2COMPANY_BOND,242884,25陕旅V1,陕西旅游集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,陕西旅游集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,2025-04-25,2025-04-25,publish_date_fallback,6.0,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-25/242884_20250425_RSM2.pdf,,,,
SSE,2025030300242467LOWHCOMPANY_BOND,242467,25皖通V1,安徽皖通高速公路股份有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,安徽皖通高速公路股份有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,2025-03-03,2025-03-03,publish_date_fallback,13.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-03-03/242467_20250303_LOWH.pdf,,,,
SSE,2025030300242468SF4BCOMPANY_BOND,242468,25皖通V2,安徽皖通高速公路股份有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,安徽皖通高速公路股份有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,2025-03-03,2025-03-03,publish_date_fallback,13.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-03-03/242468_20250303_SF4B.pdf,,,,
SSE,2025021800242402CFPJCOMPANY_BOND,242402,山交KV01,山西交通控股集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,山西交通控股集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,2025-02-18,2025-02-18,sse_result_sentence,20.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-02-18/242402_20250218_CFPJ.pdf,,,,
SSE,2024112200241977QP22COMPANY_BOND,241977,24苏交V3,苏州交通投资集团有限责任公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,苏州交通投资集团有限责任公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,2024-11-22,2024-11-22,sse_result_sentence,5.0,actual,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-11-22/241977_20241122_QP22.pdf,,,,
SSE,2024111100241506U9MKCOMPANY_BOND,241506,24桂垦01,广西农垦集团有限责任公司2024年面向专业投资者公开发行公司债券（第一期）（用于乡村振兴领域）发行结果公告,广西农垦集团有限责任公司2024年面向专业投资者公开发行公司债券（第一期）（用于乡村振兴领域）发行结果公告,2024-11-11,2024-11-11,sse_result_sentence,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-11-11/241506_20241111_U9MK.pdf,,,,
